eng	math	science	
C	B	C- 	AP science
B	B	B-	AP Eng, AP Stats, APES
F	F	F	
B	A-	B	AP Stats, APES
A	A-, B	A-	Stats, Calc, CS
A-	B	C	Stats, Chem
B	B	B	eng, stats, ApES
A-	B	B+	eng, calc, CS
C-	B+	C	eng, calc, chem
B-	C+	B-	stat, apes
B	A-, B	B+	eng, stats, calc bc, apes
B	B-	C+	
A	B	A	calc ab, apes
A-	B	B	eng, calc bc, chem
A-	A	A	
A	A	A	eng, bc, apes
B	B	C- 	stats, apes
A-	B	B+	eng, ab, cs
A	B	A	ab, chem
A-	B	A-	eng, ab, bio
A	A	A, A-	ab, chem, cs
B	B-	C+	stats, physics
A-	A-, B	A	eng, stats, calc, bio
C+	D+	B-	eng, stats
B+	A-	A	eng, ab, bio
A	A-	A	calc, chem
B	C+	B	calc, chem
A	A	A, A	eng, calc, apes, chem
A	A, A	A, A	eng, calc, stats, apes, bio
